person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
-1.3431406320873907,-1.8425232502981976,0.19113236364150946,-1.5366898878242041,0.07019576719500702,0,0.1,0,-1.0458311775030178,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1.3431406320873907,-1.8311388809276865,-0.6986956241981235,-1.2253702522621646,-1.2563095558035353,1,0.25,0,-1.0458311775030178,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
-1.3431406320873907,-1.827344091137516,0.48774169292138714,-1.4121620335993883,1.2640505578936947,1,0.16,0,-0.6764741584063475,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.5588374384466622,-1.7969857728161527,1.0809603514811423,-1.3810300700431843,0.020451817582561566,1,0.16,0,-1.0458311775030178,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-0.5588374384466622,-1.790155151193846,-1.2919142827578787,-1.432916675970191,-1.2065656061910899,0,0.14,0,-0.6764741584063475,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-0.820271836326905,-1.789396193235812,-1.2919142827578787,-1.4536713183409935,-0.5333641547693297,0,0.13,0,-0.6764741584063475,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-1.3431406320873907,-1.774634460952049,0.19113236364150946,-0.9140506167001251,0.6339605294693872,1,0.35,1,-1.0458311775030178,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1.3431406320873907,-1.7696632863269257,0.19113236364150946,-1.329143464116178,0.06356324058001385,1,0.17,0,-0.6764741584063475,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-1.3431406320873907,-1.751448295334108,0.19113236364150946,-1.2253702522621646,-1.1336078134261702,1,0.21,0,-0.3071171393096772,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-0.5588374384466622,-1.751448295334108,-0.10547696563836818,-1.2253702522621646,0.5842165798569418,1,0.21,0,-0.6764741584063475,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
-0.5588374384466622,-1.751448295334108,-0.6986956241981235,-1.3810300700431843,0.020451817582561566,0,0.15,1,-0.6764741584063475,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.0817062342071477,-1.751448295334108,0.7843510222012647,-1.432916675970191,1.2972131909686582,0,0.13,1,-0.6764741584063475,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.29740304056641936,-1.751448295334108,-1.2919142827578787,-1.1215970404081514,0.020451817582561566,1,0.25,0,-0.6764741584063475,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-1.3431406320873907,-1.751448295334108,0.48774169292138714,-1.1215970404081514,0.8893128041466064,1,0.25,1,-0.6764741584063475,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1.3431406320873907,-1.751448295334108,-1.2919142827578787,-0.8725413319585199,0.8462013811491541,1,0.35,1,-0.3071171393096772,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1.0817062342071477,-1.751448295334108,0.48774169292138714,-0.7583907989191053,-1.2563095558035353,1,0.39,0,-1.0458311775030178,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-0.03596864268617659,-1.751448295334108,-1.2919142827578787,-1.1838609675205594,0.020451817582561566,1,0.23,0,-0.3071171393096772,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-1.3431406320873907,-1.751448295334108,0.19113236364150946,-1.0697104344811448,1.575779308798352,1,0.27,1,-0.6764741584063475,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5588374384466622,-1.7377870520894945,-0.6986956241981235,-1.4121620335993883,0.8760477509166212,0,0.13,0,-0.6764741584063475,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.29740304056641936,-1.7286795565930855,-0.4020862949182458,-1.3810300700431843,0.8893128041466064,0,0.14,0,-0.6764741584063475,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.29740304056641936,-1.7204828106463173,-1.2919142827578787,-1.1215970404081514,0.643909319391876,1,0.23,1,-0.3071171393096772,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-0.5588374384466622,-1.715018313348472,-0.9953049534780011,-0.9866918649979344,-0.3377046196270448,1,0.28,0,-0.6764741584063475,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.5588374384466622,-1.715018313348472,-1.2919142827578787,-0.810277404846112,0.29901793541225535,1,0.35,0,-0.3071171393096772,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-0.820271836326905,-1.7136521890240106,-1.2919142827578787,-1.2461248946329673,0.8495176444566503,1,0.18,1,-1.0458311775030178,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-0.29740304056641936,-1.7136521890240106,-0.9953049534780011,-0.9970691861833356,1.2143066082812493,1,0.28,0,-0.6764741584063475,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1.0817062342071477,-1.7136521890240106,-0.9953049534780011,-0.7583907989191053,0.020451817582561566,1,0.37,0,-0.6764741584063475,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-0.820271836326905,-1.705910817852063,-0.4020862949182458,-0.7168815141775001,-1.0042735444338122,1,0.38,0,-0.3071171393096772,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-0.820271836326905,-1.705910817852063,-0.6986956241981235,-1.4536713183409935,-0.5565779979218043,0,0.11,0,-0.3071171393096772,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1.3431406320873907,-1.705910817852063,-1.2919142827578787,-0.810277404846112,0.6803882157743363,1,0.34,0,-0.3071171393096772,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.820271836326905,-1.6755524995306996,-0.6986956241981235,-0.9140506167001251,0.020451817582561566,1,0.29,0,-0.6764741584063475,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-1.3431406320873907,-1.660373340370018,-1.2919142827578787,-1.1215970404081514,0.020451817582561566,1,0.21,0,-0.3071171393096772,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-1.0817062342071477,-1.660373340370018,-0.6986956241981235,-0.9140506167001251,0.020451817582561566,1,0.28,0,-0.6764741584063475,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-0.29740304056641936,-1.660373340370018,0.7843510222012647,-0.6286742841015889,-1.7040051023155431,1,0.37,0,-1.0458311775030178,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.3431406320873907,-1.660373340370018,-1.2919142827578787,-1.432916675970191,0.020451817582561566,0,0.1,0,-0.3071171393096772,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.820271836326905,-1.660373340370018,-0.6986956241981235,-0.9140506167001251,1.9140381661629802,1,0.28,0,-1.0458311775030178,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
